u,v,W,f_demand,f_topo,f_redundancy,edge_type,travel_time,length,num_lanes,speed
88437583,cluster_10197150912_10197150913,0.10107993364579418,0.0006416486681065514,0.0025303643724696357,0.5,highway.residential,20.199424046076313,283.79,2,13.89
88437581,cluster_10153775647_10153775701,0.10253223345371237,0.003849892008639308,0.0020242914979757085,0.5,highway.residential,40.98848092152628,569.33,2,13.89
88437581,8176401974,0.10239759220072112,0.0044915406767458595,0.0005060728744939271,0.5,highway.residential,147.30021598272137,2046.0,2,13.89
88529563,88442810,0.2,0.0,0.0,1.0,highway.residential,5.54067674586033,121.33,4,13.89
88529563,88529560,0.2,0.0,0.0,1.0,highway.residential,12.832973362131028,180.01,2,13.89
88442810,88529568,0.2,0.0,0.0,1.0,highway.residential,2.0568754499640027,29.73,2,13.89
88444144,88444143,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.0827933765298776,42.82,2,13.89
88444143,88536586,0.10539966822897084,0.003208243340532757,0.012651821862348178,0.5,highway.residential,3.1375089992800573,43.61,2,13.89
cluster_10197150912_10197150913,9497798262,0.10030364372469636,0.0,0.0010121457489878543,0.5,highway.tertiary,42.05903398926655,470.22,1,11.18
cluster_10197150912_10197150913,10604109078,0.10566185701283622,0.0006961836612999403,0.01771255060728745,0.5,highway.tertiary,7.506261180679786,83.92,1,11.18
88448485,2375198757,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.4600431965442766,48.06,2,13.89
2375198757,2375198703,0.20539966822897085,0.003208243340532757,0.012651821862348178,1.0,highway.residential,1.564434845212383,21.73,2,13.89
2375198757,88539782,0.2032398009373825,0.001924946004319654,0.0075910931174089065,1.0,highway.residential,2.4204463642908562,33.67,2,13.89
88448498,88539782,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,4.387329013678905,60.94,2,13.89
88539782,88539786,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,4.0950323974082075,56.88,2,13.89
88448525,2375198703,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,3.2419006479481642,45.03,2,13.89
2375198703,88539769,0.20755953552055917,0.0044915406767458595,0.01771255060728745,1.0,highway.residential,2.913606911447084,40.58,2,13.89
88450149,88450138,0.10045546558704455,0.0,0.0015182186234817814,0.5,highway.residential,20.588192944564437,285.97,2,13.89
88450149,88469151,0.10062446805874964,0.0006416486681065514,0.0010121457489878543,0.5,highway.residential,7.591792656587473,105.45,2,13.89
88450138,88469151,0.1,0.0,0.0,0.5,highway.residential,17.41972642188625,242.35,2,13.89
88450138,88512607,0.1015353992328387,0.0006416486681065514,0.004048582995951417,0.5,highway.residential,6.920086393088553,100.05,2,13.89
88450256,88450254,0.20107993364579418,0.0006416486681065514,0.0025303643724696357,1.0,highway.residential,4.813534917206623,66.86,2,13.89
88450254,88454185,0.11771722331039428,0.00962473002159827,0.0430161943319838,0.5,highway.residential,4.857451403887689,70.64,2,13.89
88450254,cluster_2375198178_88504047,0.11987709060198262,0.010908027357811373,0.04807692307692308,0.5,highway.residential,2.7156227501799854,38.34,2,13.89
88450521,88450514,0.10045546558704455,0.0,0.0015182186234817814,0.5,highway.residential,6.001439884809215,83.36,2,13.89
88450521,88450525,0.10062446805874964,0.0006416486681065514,0.0010121457489878543,0.5,highway.residential,9.829373650107991,136.53,2,13.89
88450521,88512621,0.1,0.0,0.0,0.5,highway.residential,16.272138228941685,232.32,2,13.89
88450514,4605841661,0.1130316893025335,0.0005573057305730573,0.04251012145748988,0.5,highway.tertiary,7.497749774977498,167.85,2,22.22
88450514,88484534,0.11396761133603239,0.0,0.0465587044534413,0.5,highway.tertiary,8.527452745274527,189.48,2,22.22
